央视,#genre#
CCTV-女性时尚,http://111.32.169.222/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513903.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226237/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226237/index.m3u8
CCTV-风云剧场,http://111.32.169.222/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513603.m3u8#http://60.10.167.88:808/hls/57/index.m3u8#rtsp://221.203.83.34:554/PLTV/88888888/224/3221226718/10000100000000060000000006385496_0.smil
CCTV-风云足球,http://60.10.167.88:808/hls/55/index.m3u8#http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226311/1/index.m3u8?fmt=ts2hls
CCTV-风云音乐,http://111.32.169.222/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012514103.m3u8
CCTV-央视台球,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226156/1/index.m3u8?fmt=ts2hls#http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226117/1/index.m3u8?fmt=ts2hls
CCTV-兵器科技,http://183.196.25.171:808/hls/88/index.m3u8#http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226111/1/index.m3u8?fmt=ts2hls
CCTV-第一剧场,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012514403.m3u8
CCTV-卫生健康,http://125.39.177.227/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513503.m3u8
CCTV-高尔夫·网球,http://183.196.25.171:808/hls/52/index.m3u8#http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226114/1/index.m3u8?fmt=ts2hls
CCTV-央视文化精品,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226100/1/index.m3u8?fmt=ts2hls#rtsp://221.203.83.34:554/PLTV/88888888/224/3221226677/10000100000000060000000006385162_0.smil
茶频道,http://111.20.33.93/PLTV/88888893/224/3221226808/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225781/index.m3u8?fmt=ts2hls#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226808/index.m3u8
快乐垂钓,http://111.20.33.93/PLTV/88888893/224/3221226805/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225780/index.m3u8?fmt=ts2hls
陶瓷,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226247/index.m3u8?fmt=ts2hls
中华美食,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225924/index.m3u8
中国天气,https://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
梨园频道,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225581/index.m3u8?fmt=ts2hls
置业频道,http://111.20.33.70/PLTV/88888893/224/3221226241/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226241/index.m3u8
京视剧场,http://111.20.33.70/PLTV/88888893/224/3221226243/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226242/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
家庭理财,http://111.20.33.70/PLTV/88888893/224/3221226247/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226244/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226244/index.m3u8
弈坛春秋,http://111.20.33.70/PLTV/88888893/224/3221226245/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226245/index.m3u8
财富天下,http://111.20.33.70/PLTV/88888893/224/3221226350/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226350/index.m3u8
游戏风云,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226579/index.m3u8
都市剧场,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226581/index.m3u8
新视觉HD,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226237/1/index.m3u8?fmt=ts2hls
乐游,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226214/1/index.m3u8?fmt=ts2hls#http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226221/1/index.m3u8?fmt=ts2hls
极速汽车,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226583/index.m3u8
动漫秀场,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226211/1/index.m3u8?fmt=ts2hls#http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226215/1/index.m3u8?fmt=ts2hls
生活时尚,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226195/1/index.m3u8?fmt=ts2hls#http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226207/1/index.m3u8?fmt=ts2hls#http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226222/1/index.m3u8?fmt=ts2hls
法制天地,http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226199/1/index.m3u8?fmt=ts2hls#http://cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226209/1/index.m3u8?fmt=ts2hls
4K,#genre#
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8
CCTV-4K,http://open.live-web.timetv.cn/live03/cctv4k.m3u8#https://p.ggiptv.com/v/4k.m3u8#http://ye23.win/iptv/4k.cctv.php
爱上4K,http://111.20.33.70/PLTV/88888893/224/3221226352/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226352/index.m3u8
欢笑剧场4K,http://111.20.33.93/PLTV/88888893/224/3221226582/index.m3u8
河南卫视4K,http://218.29.135.2:4000/udp/225.1.4.254:1300
纪实,#genre#
清华大学,https://live.cic.tsinghua.edu.cn/hls/tsinghuatv.m3u8
纪实人文,http://111.20.33.70/PLTV/88888893/224/3221226230/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225654/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225609/index.m3u8?fmt=ts2hls#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225655/index.m3u8
